,0
fBodyAccJerk-max()-X,0.002088484566443534
fBodyBodyAccJerkMag-mean(),0.002085459707746411
tBodyAccJerk-min()-Y,0.002074372884476386
tBodyAccJerk-mean()-X,0.0020648117226074805
fBodyAcc-iqr()-Y,0.0020203449147961653
fBodyGyro-entropy()-Z,0.002002649631066988
fBodyAccMag-max(),0.0019955001062755286
tBodyAccMag-energy(),0.001958547787055814
tGravityAcc-entropy()-X,0.0019065721771159999
tBodyGyroJerk-std()-X,0.0018961334944012276
tBodyGyroJerk-energy()-X,0.001882003473852468
tBodyGyro-max()-X,0.001878385621041402
fBodyAcc-mean()-X,0.0018568101778113377
tBodyGyro-min()-X,0.0018331093996058776
fBodyGyro-maxInds-Z,0.0017948089567201367
"fBodyAccJerk-bandsEnergy()-33,48.1",0.001766115734606566
fBodyGyro-mad()-X,0.0017222202524004076
tGravityAcc-mad()-X,0.0016878408431937992
"tBodyGyro-correlation()-Y,Z",0.0016874436456364736
fBodyAccMag-iqr(),0.0016624321445375947
tBodyGyro-std()-X,0.0016617569847732186
"tBodyGyroJerk-arCoeff()-X,1",0.0016462764869231892
"tBodyAcc-arCoeff()-Z,1",0.0016254646221688005
fBodyGyro-meanFreq()-X,0.0016139207826425233
"tBodyAcc-correlation()-X,Z",0.0016093024688881839
tBodyGyro-energy()-X,0.0015643788768586711
fBodyBodyAccJerkMag-max(),0.001562847199087033
tBodyAcc-mean()-X,0.001517638734893836
tBodyAccJerk-energy()-Y,0.001482654752993615
fBodyGyro-std()-X,0.0014404204756251835
"tGravityAcc-arCoeff()-X,4",0.0014261925821411735
"tBodyAccJerk-correlation()-Y,Z",0.0013780115623922278
"tBodyAcc-arCoeff()-X,1",0.0013662790000850769
fBodyAcc-kurtosis()-X,0.0013606426622789498
fBodyAcc-skewness()-Y,0.0013314383059757978
"tBodyGyro-arCoeff()-Y,1",0.0013051247420709415
"fBodyGyro-bandsEnergy()-9,16",0.0012611735369449121
fBodyGyro-kurtosis()-Z,0.0012263280977672542
fBodyAccJerk-maxInds-Y,0.0012229654416040486
"tBodyGyro-arCoeff()-Z,4",0.001210090186832204
tBodyGyroMag-arCoeff()3,0.001207328294622073
tGravityAccMag-arCoeff()2,0.0012063023169655229
"fBodyAcc-bandsEnergy()-41,48.1",0.0011914783229408869
tBodyGyro-mean()-X,0.0011718405583751215
fBodyAccJerk-max()-Y,0.0011660486826006093
"fBodyAccJerk-bandsEnergy()-25,48.1",0.0011506196006339203
fBodyAccMag-meanFreq(),0.0011354419633136652
"fBodyAcc-bandsEnergy()-17,24.1",0.0011351603862168407
"tBodyAcc-arCoeff()-Z,4",0.0011325182329550833
fBodyGyro-skewness()-Z,0.0011186254233028143
"tBodyGyroJerk-arCoeff()-X,4",0.0011082967383652786
tBodyGyro-energy()-Z,0.0011002924484696185
"fBodyGyro-bandsEnergy()-1,8",0.0010733751010106026
tBodyGyroJerk-min()-Z,0.001065458159763398
fBodyGyro-max()-Z,0.001065383076585631
"fBodyAcc-bandsEnergy()-49,56.1",0.0010632616024812734
fBodyGyro-entropy()-X,0.0010581672111768248
"tGravityAcc-correlation()-X,Z",0.0010527281449859796
"tBodyAccJerk-arCoeff()-Y,2",0.001046713044954268
fBodyAccJerk-meanFreq()-Y,0.00103833985207511
tBodyAcc-entropy()-X,0.0010369013292247258
fBodyGyro-std()-Z,0.0010299042183380608
"tBodyGyro-arCoeff()-X,1",0.0010258871641580303
"fBodyAcc-bandsEnergy()-33,40.1",0.0010071474270122898
tBodyGyroJerk-entropy()-X,0.0009689798148291757
fBodyAccMag-entropy(),0.0009246300818275896
tGravityAccMag-iqr(),0.0008873205643596255
"fBodyAccJerk-bandsEnergy()-17,32.2",0.0008834390164475501
"tBodyAcc-correlation()-Y,Z",0.0008833995123314368
fBodyBodyGyroMag-meanFreq(),0.0008779912182886753
fBodyAccJerk-maxInds-Z,0.0008762558267289271
tBodyAccMag-iqr(),0.0008554716705766457
tBodyGyro-iqr()-Z,0.0008418138489633742
"fBodyGyro-bandsEnergy()-1,8.1",0.0008394725137613354
fBodyGyro-kurtosis()-Y,0.0008253076276973372
"tBodyGyro-correlation()-X,Y",0.0008185201811051958
fBodyGyro-maxInds-Y,0.0007898740138165615
tGravityAcc-mad()-Y,0.000775554592984828
"fBodyGyro-bandsEnergy()-1,8.2",0.0007743157816185113
"tBodyAccJerk-correlation()-X,Y",0.0007583525897482775
tGravityAccMag-entropy(),0.0007580371194990011
tBodyAccMag-sma(),0.0007533885087738303
tBodyGyroJerk-min()-X,0.0007488339245408659
"tBodyGyroJerk-arCoeff()-X,3",0.0007183919686967262
"angle(tBodyGyroMean,gravityMean)",0.000713220562694713
"fBodyAcc-bandsEnergy()-1,24.1",0.0007122688181127304
fBodyGyro-skewness()-Y,0.0007092843318325838
"tBodyGyro-correlation()-X,Z",0.0007062876047369411
"tBodyGyroJerk-correlation()-Y,Z",0.0006996978726571793
tGravityAcc-mad()-Z,0.0006895549896376222
"fBodyGyro-bandsEnergy()-1,24.1",0.0006884771909776555
"tBodyGyroJerk-correlation()-X,Z",0.0006866786277436465
fBodyAcc-max()-Y,0.0006724059420603007
fBodyGyro-max()-Y,0.0006615156898698825
tGravityAcc-std()-Y,0.0006584571173839167
fBodyAcc-kurtosis()-Y,0.0006490860562045109
fBodyGyro-skewness()-X,0.000645972734301484
tBodyGyro-mad()-Y,0.0006437156073846546
"tGravityAcc-correlation()-Y,Z",0.0006358180316870333
tBodyGyro-energy()-Y,0.0006349855918154339
fBodyAcc-std()-Z,0.0006287418672280866
tBodyAccMag-max(),0.0006270847290512342
"fBodyGyro-bandsEnergy()-1,16.2",0.0006178695855885942
fBodyGyro-energy()-Y,0.0006132547792475316
tBodyGyro-std()-Z,0.0005973088665343868
tBodyAccJerk-entropy()-Z,0.0005953716564371497
tBodyGyro-mad()-Z,0.0005918768468758773
"tBodyGyroJerk-arCoeff()-Z,4",0.0005894933317136846
tBodyGyroJerk-max()-X,0.0005814850149769191
"fBodyGyro-bandsEnergy()-25,48",0.000567416890580213
"fBodyAccJerk-bandsEnergy()-1,16.2",0.0005608051790912433
tBodyGyro-max()-Z,0.0005520730583901947
"fBodyAccJerk-bandsEnergy()-9,16.1",0.0005510067441464296
tBodyAcc-energy()-Y,0.0005381806025348633
tBodyGyroJerk-mad()-Y,0.0005344251990897458
fBodyAcc-std()-Y,0.0005308629054704119
"fBodyGyro-bandsEnergy()-25,32.2",0.0005308327034186026
tBodyAcc-std()-Z,0.000530738644801999
fBodyGyro-mad()-Z,0.0005282505750240286
"fBodyAcc-bandsEnergy()-17,32.2",0.0005206556596451091
fBodyAcc-skewness()-X,0.0005142794204228882
"fBodyAcc-bandsEnergy()-1,8.1",0.0005141669757070775
fBodyGyro-std()-Y,0.000508921987052843
fBodyBodyAccJerkMag-std(),0.0005084487180013254
tBodyGyroJerk-energy()-Y,0.0005064573061845716
"tBodyGyroJerk-correlation()-X,Y",0.0005052112009406944
tBodyGyro-iqr()-Y,0.000495587324607296
fBodyGyro-energy()-Z,0.0004922553869371299
tBodyAccJerk-max()-X,0.0004899389872065656
subject,0.0004875088887971966
"fBodyGyro-bandsEnergy()-1,24.2",0.00046669328167981284
"fBodyGyro-bandsEnergy()-1,16.1",0.0004649261592363494
fBodyAcc-maxInds-X,0.00045675451212390207
tBodyAcc-min()-X,0.00045366732017832547
tBodyAccJerkMag-std(),0.00045157270715855396
"angle(tBodyGyroJerkMean,gravityMean)",0.0004483141837645685
"tBodyAcc-arCoeff()-Y,3",0.0004401159368719527
tBodyAccJerkMag-energy(),0.0004383985574339949
tBodyGyroMag-min(),0.0004374576115878892
tBodyGyroMag-entropy(),0.00043672505850378786
fBodyGyro-entropy()-Y,0.0004362586880616011
fBodyGyro-mean()-Y,0.00043350353255652325
tBodyGyro-entropy()-Z,0.0004329912854544294
tGravityAcc-iqr()-Y,0.0004329116612388214
"fBodyAcc-bandsEnergy()-17,24.2",0.00042926412599524766
tBodyGyroJerk-max()-Y,0.0004286151011311756
tBodyGyroJerkMag-sma(),0.0004270361670396869
tGravityAccMag-mean(),0.0004253719167388558
"tBodyGyroJerk-arCoeff()-Y,4",0.00042325436844296626
fBodyAccJerk-std()-Y,0.0004229732519775663
fBodyBodyAccJerkMag-skewness(),0.00041686870562650464
fBodyGyro-kurtosis()-X,0.00041591144356100404
"fBodyGyro-bandsEnergy()-49,64",0.0004155219729570498
tBodyGyroJerk-std()-Y,0.00041387187599132305
"fBodyGyro-bandsEnergy()-9,16.1",0.0004104334786687401
tBodyAcc-mad()-Y,0.0004066512780980581
"fBodyAccJerk-bandsEnergy()-1,24.2",0.00040660674047822713
fBodyAcc-mean()-Z,0.00039950087565050486
fBodyBodyAccJerkMag-kurtosis(),0.0003970403530844705
tBodyGyro-max()-Y,0.0003918877600975219
fBodyAcc-mad()-Z,0.00039081934779069
"fBodyGyro-bandsEnergy()-17,32.1",0.0003899592324880831
fBodyBodyGyroMag-entropy(),0.0003889171137209454
fBodyGyro-iqr()-X,0.0003886727753384261
"fBodyAccJerk-bandsEnergy()-25,48.2",0.0003885223047740552
tGravityAcc-std()-Z,0.00038697161396920486
"fBodyAcc-bandsEnergy()-9,16.2",0.0003855907984520326
tGravityAcc-iqr()-X,0.00038478716415150076
"tBodyAccJerk-arCoeff()-Z,1",0.00038270354883475653
tBodyAcc-iqr()-Y,0.00038045944709552665
fBodyGyro-mad()-Y,0.0003789923086044228
"fBodyAcc-bandsEnergy()-1,8.2",0.0003789820670638246
"fBodyAcc-bandsEnergy()-9,16",0.00037726802281125993
"fBodyGyro-bandsEnergy()-41,48.2",0.0003720263197417216
fBodyGyro-iqr()-Y,0.000370166849104207
"fBodyGyro-bandsEnergy()-17,24.1",0.0003694684973301097
"fBodyAcc-bandsEnergy()-9,16.1",0.00036608923380881714
fBodyGyro-mean()-Z,0.00036493082253545345
tBodyGyroJerkMag-energy(),0.0003611099223065707
fBodyBodyGyroMag-kurtosis(),0.0003598244771043939
"fBodyAccJerk-bandsEnergy()-33,48",0.00035915264591051703
"fBodyGyro-bandsEnergy()-17,32.2",0.0003561281890633658
"fBodyGyro-bandsEnergy()-49,56.2",0.00035601294685446566
tBodyAcc-energy()-Z,0.0003558246217269133
"fBodyGyro-bandsEnergy()-17,32",0.00035452667072512065
tBodyGyro-entropy()-Y,0.00034335984070068805
"fBodyAccJerk-bandsEnergy()-9,16.2",0.0003409338953970624
fBodyAcc-main()-Y,0.00033993292093269706
"fBodyAccJerk-bandsEnergy()-17,24.2",0.00033858005247183016
fBodyBodyGyroJerkMag-skewness(),0.0003382755453650292
"fBodyGyro-bandsEnergy()-41,48.1",0.0003381248652719906
fBodyAccJerk-meanFreq()-Z,0.0003378666315276942
"fBodyAcc-bandsEnergy()-1,16.1",0.0003374843633115654
fBodyGyro-min()-X,0.00033511122710937376
fBodyBodyGyroMag-min(),0.00033096146553142683
"tBodyAccJerk-arCoeff()-Z,4",0.0003303506948965902
"fBodyAccJerk-bandsEnergy()-25,32.2",0.00032840943406951687
fBodyAcc-kurtosis()-Z,0.00032014431016157136
fBodyAccJerk-meanFreq()-X,0.00031744473075183877
fBodyBodyGyroMag-skewness(),0.0003146965936362322
tBodyGyro-sma(),0.00031389356299120366
tBodyGyroJerk-min()-Y,0.00031362642234566355
"tBodyAccJerk-arCoeff()-Z,2",0.0003131163697221917
fBodyAccJerk-skewness()-Y,0.00031194212216006044
fBodyAccJerk-mad()-Z,0.0003099952479470537
fBodyBodyGyroJerkMag-sma(),0.00030935365097748096
fBodyAccJerk-entropy()-Z,0.0003084142890739294
fBodyAcc-max()-Z,0.00030487397441600355
"tBodyAcc-arCoeff()-Y,1",0.0003046755214246615
"fBodyAcc-bandsEnergy()-25,48.2",0.00030377693642128775
fBodyAcc-iqr()-X,0.00030179417898042546
fBodyBodyGyroMag-energy(),0.0003000894454645851
tBodyGyroMag-mad(),0.0002998259176603749
"fBodyAcc-bandsEnergy()-33,40",0.0002984065269114259
fBodyBodyGyroJerkMag-mad(),0.0002957644759218949
fBodyBodyAccJerkMag-maxInds,0.00029501640055134166
tBodyGyroJerk-mean()-X,0.00029296709831301093
tBodyAcc-std()-Y,0.00029156350689880944
tBodyGyroJerkMag-mean(),0.00029129829591023165
tBodyAccJerk-mad()-Z,0.0002911662027960803
fBodyAcc-energy()-Z,0.0002910267987145912
"tBodyAccJerk-correlation()-X,Z",0.000289022595221463
fBodyGyro-iqr()-Z,0.00028878410255344744
fBodyAccJerk-iqr()-Z,0.00028826893616252765
"fBodyAcc-bandsEnergy()-33,48.2",0.0002874938678381908
tBodyAcc-entropy()-Z,0.00028567327833790493
tBodyGyroMag-mean(),0.00028508904702901944
tBodyAccJerk-min()-Z,0.00028507237563608114
